food_name,categories
beef pasta,Noodles; Noodles and Congee; Pizza; Steakhouse; Seafood
italian spinach,Italian; Italian Contemporary; Pizza; Mediterranean Cuisine
fish curry,Seafood; Thai; Modern Cuisine; Mediterranean Cuisine; Sushi
spicy vegetable,Vegetarian; Pizza; Noodles; Sushi; Modern Cuisine
hearty vegetable,Vegetarian; Seafood; Pizza; Noodles and Congee; Street Food
cuban mojo,Barbecue
salsa over,Pizza
italian country,Italian; Italian Contemporary; European; Mediterranean Cuisine; Spanish
chicken burritos,Street Food; Pizza; Seafood; Sushi; Barbecue
macadamia nut,Sushi
bean casserole,Pizza; Mediterranean Cuisine; Modern Cuisine; Barbecue
cheese spread,Pizza; Street Food; Seafood
one dish,Rice Dishes; Mediterranean Cuisine; Modern Cuisine; Seafood; Street Food
chocolate tiramisu,Noodles; Noodles and Congee; Tempura
el dorado,Spanish; Spanish Contemporary; Mexican
cheddar cheese,Pizza; Seafood; Noodles
grand marnier,French; French Contemporary;
caribbean lime,Barbecue
carne en,French Contemporary; French; European Contemporary; Italian Contemporary; Spanish Contemporary
queso blanco,Spanish; Spanish Contemporary; Mexican; Tempura
tomato salsa,Pizza; Mediterranean Cuisine; Italian; Vegetarian; Sushi
bento box,Japanese
spinach stuffed,Pizza; Seafood; Sushi
spicy tuna,Seafood; Sushi; Mediterranean Cuisine; Tempura; Pizza
thai stir,Thai; Thai contemporary; Northern Thai; Southern Thai; Thai and Vietnamese
east african,South East Asian; International; Isan; Southern
thai crab,Thai; Northern Thai; Southern Thai; Seafood; Thai-Chinese
lamb stuffed,Noodles; Pizza
sea scallops,Seafood; Sushi
baby spinach,Pizza; Sushi
lamb meatballs,Pizza; Steakhouse; Vegetarian; Seafood; Sushi
minced beef,Steakhouse; Vegetarian; Modern Cuisine; Small eats; Seafood
spicy green,Pizza; Tempura; Sushi
spicy crock,Modern Cuisine; Tempura; Pizza; Barbecue; Mediterranean Cuisine
moroccan roasted,Vegetarian; Mediterranean Cuisine; Pizza; Grills; Barbecue
chicken sour,Sushi; Seafood; Modern Cuisine; Street Food; Barbecue
sauteed pork,Vegetarian; Mediterranean Cuisine; Barbecue; Sushi; Modern Cuisine
prawn salad,Seafood; Noodles; Sushi; Street Food; Noodles and Congee
thai lemongrass,Thai; Southern Thai; Thai and Vietnamese; Northern Thai; Thai-Chinese
garlic mayonnaise,Mediterranean Cuisine; Noodles and Congee; Noodles; Pizza; Modern Cuisine
teriyaki pork,Yakiniku; Yakitori; Sushi; Mediterranean Cuisine; Vegetarian
beef taco,Vegetarian; Modern Cuisine; Steakhouse; Seafood; Sushi
baked cheese,Pizza; Noodles; Mediterranean Cuisine; Seafood; Modern Cuisine
best chinese,Chinese; Thai-Chinese; Cantonese; Vietnamese; Japanese
shrimp over,Seafood; Sushi
creme fraiche,French; French Contemporary; Italian; Italian Contemporary
chocolate irish,Noodles and Congee; Street Food
irish corned,Noodles and Congee; Street Food
sweet n sour,Thai; Thai and Vietnamese
marinated tomatoes,Mediterranean Cuisine; Seafood
chilled avocado,Sushi; Seafood; Tempura
avocado soup,Noodles and Congee; Sushi; Street Food; Seafood; Modern Cuisine
tie pasta,Noodles; Noodles and Congee; Pizza; Italian
shaking beef,Steakhouse
spanish scallops,Spanish; Sushi
salad sandwich,Pizza; Street Food; Noodles; Seafood; Mediterranean Cuisine
italian soup,Italian; Italian Contemporary; Pizza; Noodles and Congee; Mediterranean Cuisine
poached chicken,Seafood; Street Food
vietnamese fish,Vietnamese
onion rings,Pizza; Noodles
korean rice,Rice Dishes; Korean; Korean Contemporary; Sushi; Thai-Chinese
zucchini salad,Pizza; Sushi; Mediterranean Cuisine; Street Food; Vegetarian
italian zucchini,Italian; Italian Contemporary; Pizza; Mediterranean Cuisine
pastry dough,Pizza; Noodles and Congee; Noodles; Mediterranean Cuisine
french green,French; French Contemporary
curried shrimp,Seafood; Noodles and Congee; Noodles; Mediterranean Cuisine; Sushi
cooker sausage,Mediterranean Cuisine; Modern Cuisine; Pizza; Barbecue; Vegetarian
creamed beef,Steakhouse; Modern Cuisine; Vegetarian
potato cake,Noodles and Congee
simple chocolate,Pizza
rotisserie chicken,Barbecue; Mediterranean Cuisine; Modern Cuisine; Seafood; Vegetarian
peri peri,Italian Contemporary
shrimp enchiladas,Seafood; Noodles; Noodles and Congee; Sushi; Mediterranean Cuisine
peach french,French; French Contemporary; Spanish; Italian
grilled vietnamese,Vietnamese; Thai and Vietnamese; Grills; Barbecue; Southern Thai
bleu cheese,Noodles; Noodles and Congee; Seafood; Pizza; Mediterranean Cuisine
potato leek,Vietnamese; Noodles
greek grilled,Grills; Mediterranean Cuisine; Barbecue; Pizza
cheesy baked,Noodles and Congee; Pizza; Barbecue; Mediterranean Cuisine; Noodles
mango salad,Sushi; Street Food; Pizza; Mediterranean Cuisine; Noodles
salmon steak,Steakhouse; Seafood; Vegetarian; Sushi; Pizza
carb beef,Vegetarian; Steakhouse; Street Food; Seafood; Barbecue
tabbouleh salad,Mediterranean Cuisine; Street Food; Noodles; Barbecue; Pizza
date pudding,Modern Cuisine
hungarian style,Cantonese; German; Italian Contemporary; Italian; Korean Contemporary
greek summer,Mediterranean Cuisine
broiled roast,Barbecue; Grills; Pizza
coriander soup,Mediterranean Cuisine; Modern Cuisine; Noodles and Congee; Seafood; Street Food
pulled beef,Steakhouse
vegetarian lasagna,Vegetarian; Mediterranean Cuisine; Seafood; Noodles and Congee; Pizza
marinated shrimp,Seafood; Noodles; Noodles and Congee; Sushi; Mediterranean Cuisine
cooked lamb,Vegetarian; Noodles; Mediterranean Cuisine; Barbecue; Pizza
sauteed mushrooms,Sushi; Pizza
chicken quesadillas,Noodles; Mediterranean Cuisine; Noodles and Congee; Sushi; Pizza
traditional italian,Italian; Italian Contemporary; Mediterranean Cuisine; Spanish Contemporary; Modern Cuisine
greek lentil,Mediterranean Cuisine
quick thai,Thai; Thai and Vietnamese; Thai-Chinese; Northern Thai; Southern Thai
warm potato,Tempura
grilled zucchini,Grills; Barbecue; Pizza
caramelized pork,Mediterranean Cuisine; Seafood; Barbecue; Vegetarian; Modern Cuisine
pork belly,Vegetarian; Barbecue; Pizza; Steakhouse; Seafood
green pea,European; European Contemporary
eggplant salad,Pizza; Street Food; Noodles
shrimp rolls,Seafood; Sushi; Pizza; Noodles; Noodles and Congee
italian ground,Italian; Italian Contemporary; Pizza; European
homemade taco,Modern Cuisine
chile chicken,Noodles; Modern Cuisine; Mediterranean Cuisine; Noodles and Congee; Pizza
spanish green,Spanish; Mexican; Spanish Contemporary; Chinese; Italian
curried vegetables,Vegetarian; Modern Cuisine; Street Food; Mediterranean Cuisine; Noodles and Congee
roasted vegetables,Vegetarian; Street Food; Pizza; Barbecue; Grills
cooked italian,Italian; Mediterranean Cuisine; Italian Contemporary; Pizza; Modern Cuisine
vietnamese caramelized,Vietnamese; Thai and Vietnamese; Thai-Chinese; Thai; Cantonese
skillet macaroni,Mediterranean Cuisine; Noodles
mint salad,Noodles; Street Food; Pizza; Rice Dishes; Modern Cuisine
chocolate fondue,Noodles
daikon radish,Yakiniku; Yakitori
carne adovada,Italian Contemporary; Tempura; French Contemporary
crockery pot,Modern Cuisine
good eats,Small eats; Seafood; Vegetarian; Pizza; Street Food
greek honey,Mediterranean Cuisine; Italian; Modern Cuisine
butter sauce,Mediterranean Cuisine; Pizza; Sushi; Noodles; Modern Cuisine
irish brown,Indian
con huevos,Spanish
baked thai,Thai; Southern Thai; Northern Thai; Thai and Vietnamese; Thai-Chinese
pizza crust,Pizza; Seafood; Mediterranean Cuisine; Sushi; Italian
baked zucchini,Pizza; Mediterranean Cuisine
honey garlic,Mediterranean Cuisine; Pizza; Modern Cuisine
hot sauce,Tempura; Pizza; Barbecue; Mediterranean Cuisine; Noodles
spicy fish,Seafood; Sushi; Tempura; Pizza; Mediterranean Cuisine
onion gravy,Street Food; Pizza
chicken baked,Barbecue; Noodles; Mediterranean Cuisine; Pizza; Modern Cuisine
swiss pork,Mediterranean Cuisine; Pizza; Vegetarian; Seafood; Thai
hungarian beef,Vegetarian; Modern Cuisine; Mediterranean Cuisine; Steakhouse; Noodles
butter pie,Pizza; Seafood; Mediterranean Cuisine
chicken pesto,Modern Cuisine; Noodles; Noodles and Congee; Tempura; Pizza
sour beef,Vegetarian; Steakhouse; Sushi; Seafood; Modern Cuisine
red thai,Thai; Northern Thai; Thai and Vietnamese; Southern Thai; Thai-Chinese
thai pumpkin,Thai; Thai-Chinese; Northern Thai; Thai and Vietnamese; Southern Thai
